Fuel,On-Road Application,Torque (lb-ft),Pollutant,Multiplier
CNG,Combination Long-haul Truck,1225,CO,12.6
CNG,Combination Long-haul Truck,1225,NOx,0.05
CNG,Combination Long-haul Truck,1225,PM10,1
CNG,Combination Long-haul Truck,1225,PM10 (TBW),1
CNG,Combination Long-haul Truck,1225,PM2.5,1
CNG,Combination Long-haul Truck,1225,PM2.5 (TBW),1
CNG,Combination Long-haul Truck,1225,VOC,1
CNG,Combination Long-haul Truck,1225,VOC (Evap),0
CNG,Combination Short-haul Truck,1225,CO,12.6
CNG,Combination Short-haul Truck,1225,NOx,0.05
CNG,Combination Short-haul Truck,1225,PM10,1
CNG,Combination Short-haul Truck,1225,PM10 (TBW),1
CNG,Combination Short-haul Truck,1225,PM2.5,1
CNG,Combination Short-haul Truck,1225,PM2.5 (TBW),1
CNG,Combination Short-haul Truck,1225,VOC,1
CNG,Combination Short-haul Truck,1225,VOC (Evap),0
CNG,Light Commercial Truck,371,CO,1
CNG,Light Commercial Truck,371,NOx,1
CNG,Light Commercial Truck,371,PM10,1
CNG,Light Commercial Truck,371,PM10 (TBW),1
CNG,Light Commercial Truck,371,PM2.5,1
CNG,Light Commercial Truck,371,PM2.5 (TBW),1
CNG,Light Commercial Truck,371,VOC,1
CNG,Light Commercial Truck,371,VOC (Evap),0
CNG,Passenger Car,N/A,CO,1
CNG,Passenger Car,N/A,NOx,1
CNG,Passenger Car,N/A,PM10,1
CNG,Passenger Car,N/A,PM10 (TBW),1
CNG,Passenger Car,N/A,PM2.5,1
CNG,Passenger Car,N/A,PM2.5 (TBW),1
CNG,Passenger Car,N/A,VOC,1
CNG,Passenger Car,N/A,VOC (Evap),0
CNG,Passenger Truck,N/A,CO,1
CNG,Passenger Truck,N/A,NOx,1
CNG,Passenger Truck,N/A,PM10,1
CNG,Passenger Truck,N/A,PM10 (TBW),1
CNG,Passenger Truck,N/A,PM2.5,1
CNG,Passenger Truck,N/A,PM2.5 (TBW),1
CNG,Passenger Truck,N/A,VOC,1
CNG,Passenger Truck,N/A,VOC (Evap),0
CNG,Refuse Truck,1000,CO,11.4
CNG,Refuse Truck,1000,NOx,0.05
CNG,Refuse Truck,1000,PM10,1
CNG,Refuse Truck,1000,PM10 (TBW),1
CNG,Refuse Truck,1000,PM2.5,1
CNG,Refuse Truck,1000,PM2.5 (TBW),1
CNG,Refuse Truck,1000,VOC,1
CNG,Refuse Truck,1000,VOC (Evap),0
CNG,School Bus,1000,CO,23.9
CNG,School Bus,1000,NOx,0.05
CNG,School Bus,1000,PM10,1
CNG,School Bus,1000,PM10 (TBW),1
CNG,School Bus,1000,PM2.5,1
CNG,School Bus,1000,PM2.5 (TBW),1
CNG,School Bus,1000,VOC,1
CNG,School Bus,1000,VOC (Evap),0
CNG,Single Unit Long-haul Truck,1000,CO,20.7
CNG,Single Unit Long-haul Truck,1000,NOx,0.05
CNG,Single Unit Long-haul Truck,1000,PM10,1
CNG,Single Unit Long-haul Truck,1000,PM10 (TBW),1
CNG,Single Unit Long-haul Truck,1000,PM2.5,1
CNG,Single Unit Long-haul Truck,1000,PM2.5 (TBW),1
CNG,Single Unit Long-haul Truck,1000,VOC,1
CNG,Single Unit Long-haul Truck,1000,VOC (Evap),0
CNG,Single Unit Short-haul Truck,1000,CO,19.5
CNG,Single Unit Short-haul Truck,1000,NOx,0.05
CNG,Single Unit Short-haul Truck,1000,PM10,1
CNG,Single Unit Short-haul Truck,1000,PM10 (TBW),1
CNG,Single Unit Short-haul Truck,1000,PM2.5,1
CNG,Single Unit Short-haul Truck,1000,PM2.5 (TBW),1
CNG,Single Unit Short-haul Truck,1000,VOC,1
CNG,Single Unit Short-haul Truck,1000,VOC (Evap),0
CNG,Transit Bus,1000,CO,11.5
CNG,Transit Bus,1000,NOx,0.05
CNG,Transit Bus,1000,PM10,1
CNG,Transit Bus,1000,PM10 (TBW),1
CNG,Transit Bus,1000,PM2.5,1
CNG,Transit Bus,1000,PM2.5 (TBW),1
CNG,Transit Bus,1000,VOC,1
CNG,Transit Bus,1000,VOC (Evap),0
LNG,Combination Long-haul Truck,1225,CO,12.6
LNG,Combination Long-haul Truck,1225,NOx,0.05
LNG,Combination Long-haul Truck,1225,PM10,1
LNG,Combination Long-haul Truck,1225,PM10 (TBW),1
LNG,Combination Long-haul Truck,1225,PM2.5,1
LNG,Combination Long-haul Truck,1225,PM2.5 (TBW),1
LNG,Combination Long-haul Truck,1225,VOC,1
LNG,Combination Long-haul Truck,1225,VOC (Evap),0
LNG,Combination Short-haul Truck,1225,CO,12.6
LNG,Combination Short-haul Truck,1225,NOx,0.05
LNG,Combination Short-haul Truck,1225,PM10,1
LNG,Combination Short-haul Truck,1225,PM10 (TBW),1
LNG,Combination Short-haul Truck,1225,PM2.5,1
LNG,Combination Short-haul Truck,1225,PM2.5 (TBW),1
LNG,Combination Short-haul Truck,1225,VOC,1
LNG,Combination Short-haul Truck,1225,VOC (Evap),0
LNG,Light Commercial Truck,371,CO,1
LNG,Light Commercial Truck,371,NOx,1
LNG,Light Commercial Truck,371,PM10,1
LNG,Light Commercial Truck,371,PM10 (TBW),1
LNG,Light Commercial Truck,371,PM2.5,1
LNG,Light Commercial Truck,371,PM2.5 (TBW),1
LNG,Light Commercial Truck,371,VOC,1
LNG,Light Commercial Truck,371,VOC (Evap),0
LNG,Passenger Car,N/A,CO,1
LNG,Passenger Car,N/A,NOx,1
LNG,Passenger Car,N/A,PM10,1
LNG,Passenger Car,N/A,PM10 (TBW),1
LNG,Passenger Car,N/A,PM2.5,1
LNG,Passenger Car,N/A,PM2.5 (TBW),1
LNG,Passenger Car,N/A,VOC,1
LNG,Passenger Car,N/A,VOC (Evap),0
LNG,Passenger Truck,N/A,CO,1
LNG,Passenger Truck,N/A,NOx,1
LNG,Passenger Truck,N/A,PM10,1
LNG,Passenger Truck,N/A,PM10 (TBW),1
LNG,Passenger Truck,N/A,PM2.5,1
LNG,Passenger Truck,N/A,PM2.5 (TBW),1
LNG,Passenger Truck,N/A,VOC,1
LNG,Passenger Truck,N/A,VOC (Evap),0
LNG,Refuse Truck,1000,CO,11.4
LNG,Refuse Truck,1000,NOx,0.05
LNG,Refuse Truck,1000,PM10,1
LNG,Refuse Truck,1000,PM10 (TBW),1
LNG,Refuse Truck,1000,PM2.5,1
LNG,Refuse Truck,1000,PM2.5 (TBW),1
LNG,Refuse Truck,1000,VOC,1
LNG,Refuse Truck,1000,VOC (Evap),0
LNG,School Bus,1000,CO,23.9
LNG,School Bus,1000,NOx,0.05
LNG,School Bus,1000,PM10,1
LNG,School Bus,1000,PM10 (TBW),1
LNG,School Bus,1000,PM2.5,1
LNG,School Bus,1000,PM2.5 (TBW),1
LNG,School Bus,1000,VOC,1
LNG,School Bus,1000,VOC (Evap),0
LNG,Single Unit Long-haul Truck,1000,CO,20.7
LNG,Single Unit Long-haul Truck,1000,NOx,0.05
LNG,Single Unit Long-haul Truck,1000,PM10,1
LNG,Single Unit Long-haul Truck,1000,PM10 (TBW),1
LNG,Single Unit Long-haul Truck,1000,PM2.5,1
LNG,Single Unit Long-haul Truck,1000,PM2.5 (TBW),1
LNG,Single Unit Long-haul Truck,1000,VOC,1
LNG,Single Unit Long-haul Truck,1000,VOC (Evap),0
LNG,Single Unit Short-haul Truck,1000,CO,19.5
LNG,Single Unit Short-haul Truck,1000,NOx,0.05
LNG,Single Unit Short-haul Truck,1000,PM10,1
LNG,Single Unit Short-haul Truck,1000,PM10 (TBW),1
LNG,Single Unit Short-haul Truck,1000,PM2.5,1
LNG,Single Unit Short-haul Truck,1000,PM2.5 (TBW),1
LNG,Single Unit Short-haul Truck,1000,VOC,1
LNG,Single Unit Short-haul Truck,1000,VOC (Evap),0
LNG,Transit Bus,1000,CO,11.5
LNG,Transit Bus,1000,NOx,0.05
LNG,Transit Bus,1000,PM10,1
LNG,Transit Bus,1000,PM10 (TBW),1
LNG,Transit Bus,1000,PM2.5,1
LNG,Transit Bus,1000,PM2.5 (TBW),1
LNG,Transit Bus,1000,VOC,1
LNG,Transit Bus,1000,VOC (Evap),0
LNG/D,Combination Long-haul Truck,1750,CO,0.5
LNG/D,Combination Long-haul Truck,1750,NOx,0.5
LNG/D,Combination Long-haul Truck,1750,PM10,0.9
LNG/D,Combination Long-haul Truck,1750,PM10 (TBW),1
LNG/D,Combination Long-haul Truck,1750,PM2.5,0.9
LNG/D,Combination Long-haul Truck,1750,PM2.5 (TBW),1
LNG/D,Combination Long-haul Truck,1750,VOC,1
LNG/D,Combination Long-haul Truck,1750,VOC (Evap),1
LNG/D,Combination Short-haul Truck,1750,CO,0.5
LNG/D,Combination Short-haul Truck,1750,NOx,0.5
LNG/D,Combination Short-haul Truck,1750,PM10,0.9
LNG/D,Combination Short-haul Truck,1750,PM10 (TBW),1
LNG/D,Combination Short-haul Truck,1750,PM2.5,0.9
