stateName,vehicleType,pollutant (g/mi),,EF_2023
ALABAMA,"Combination Long-haul Truck, Diesel",CO,,1.426
ALASKA,"Combination Long-haul Truck, Diesel",CO,,1.405
ARIZONA,"Combination Long-haul Truck, Diesel",CO,,1.465
ARKANSAS,"Combination Long-haul Truck, Diesel",CO,,1.392
CALIFORNIA,"Combination Long-haul Truck, Diesel",CO,,1.489
COLORADO,"Combination Long-haul Truck, Diesel",CO,,1.442
CONNECTICUT,"Combination Long-haul Truck, Diesel",CO,,1.526
DELAWARE,"Combination Long-haul Truck, Diesel",CO,,1.519
DISTRICT OF COLUMBIA,"Combination Long-haul Truck, Diesel",CO,,2.066
FLORIDA,"Combination Long-haul Truck, Diesel",CO,,1.546
GEORGIA,"Combination Long-haul Truck, Diesel",CO,,1.472
HAWAII,"Combination Long-haul Truck, Diesel",CO,,1.597
IDAHO,"Combination Long-haul Truck, Diesel",CO,,1.368
ILLINOIS,"Combination Long-haul Truck, Diesel",CO,,1.476
INDIANA,"Combination Long-haul Truck, Diesel",CO,,1.425
IOWA,"Combination Long-haul Truck, Diesel",CO,,1.367
KANSAS,"Combination Long-haul Truck, Diesel",CO,,1.376
KENTUCKY,"Combination Long-haul Truck, Diesel",CO,,1.364
LOUISIANA,"Combination Long-haul Truck, Diesel",CO,,1.423
MAINE,"Combination Long-haul Truck, Diesel",CO,,1.352
MARYLAND,"Combination Long-haul Truck, Diesel",CO,,1.505
MASSACHUSETTS,"Combination Long-haul Truck, Diesel",CO,,1.596
MICHIGAN,"Combination Long-haul Truck, Diesel",CO,,1.456
MINNESOTA,"Combination Long-haul Truck, Diesel",CO,,1.420
MISSISSIPPI,"Combination Long-haul Truck, Diesel",CO,,1.379
MISSOURI,"Combination Long-haul Truck, Diesel",CO,,1.368
MONTANA,"Combination Long-haul Truck, Diesel",CO,,1.334
NEBRASKA,"Combination Long-haul Truck, Diesel",CO,,1.358
NEVADA,"Combination Long-haul Truck, Diesel",CO,,1.479
NEW HAMPSHIRE,"Combination Long-haul Truck, Diesel",CO,,1.413
